総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
58,29,0,29,1,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
2,1,13,8,7,8,8,4,3,4,0,0
うち重症者
1
男性,女性,不明
28,30,0
総数(累計),重症者,死亡(累計),退院(累計)
"4,712",93,150,"1,612"
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
31,90,289,336,70,75,116,128,177,129,197
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
415,160,173,215,127,75,45,99,191,114,109
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
123,41,13,17,27,3,66,9,35,46,14
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
16,18,10,11,6,1,19,6,12,12,2
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
29,10,5,7,40,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,147,547,,
