総数,(内訳),,
"",濃厚接触者※1,海外渡航歴,調査中
13,6,0,7
うち重症者
0
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,0,7,2,2,1,0,1,0,0,0,0
男性,女性,不明
9,4,0
"",入院中,,,入院・療養等,死亡,退院,
"",,重症者,,,調整中,(累計),(累計)
"5,249",329,,,,,,
"",,,,,,,
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
43,112,318,421,95,174,152,228,188,166,246
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
463,179,228,255,148,100,80,143,276,156,135
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
144,43,14,17,29,6,72,9,37,53,21
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
23,20,13,13,7,1,22,8,15,15,2
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
37,12,5,7,48,1,1,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中,,
0,0,0,1,0,0,0,211,23,,
