総数,(内訳),,
"",濃厚接触者※1,海外渡航歴,調査中
47,37,0,10
うち重症者
0
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,4,26,8,2,1,3,2,1,0,0,0
男性,女性,不明
34,13,0
"",入院中,,,入院・療養等,死亡,退院,
"",,重症者,,,調整中,(累計),(累計)
"5,544",241,,,,,,
"",,,,,,,
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
44,115,339,489,98,175,153,233,191,172,249
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
495,192,252,263,155,100,82,148,281,158,136
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
148,44,15,18,29,6,77,9,37,55,30
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
26,20,15,14,8,2,22,8,15,15,2
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
38,12,5,7,50,1,1,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中,,
0,0,0,1,0,0,0,224,23,,
