総数,(内訳),,
"",濃厚接触者※1,海外渡航歴,調査中
58,34,0,24
うち重症者
0
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,1,32,14,4,2,0,1,2,2,0,0
男性,女性,不明
40,18,0
"",入院中,,,入院・療養等,死亡,退院,
"",,重症者,,,調整中,(累計),(累計)
"6,171",272,,,,,,
"",,,,,,,
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
47,124,356,676,104,182,161,243,199,180,263
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
530,205,284,279,205,107,85,180,304,179,141
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
163,51,19,22,32,10,79,10,38,59,36
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村
27,20,16,15,8,2,27,8,16,17,2
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
38,11,5,10,54,2,1,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中,,
0,0,0,1,0,0,0,257,23,,
