"ＮＥＷＳＦＬＡＳＨ
米、現金追加給付を検討",（2020年7月2日）,//mainichi.jp/articles/20200702/dde/007/030/017000c
トランプ氏、追加現金給付を検討　「民主党より大きな金額」,（2020年7月2日）,//mainichi.jp/articles/20200702/k00/00m/030/024000c
新型コロナ　院内感染防止へ、補正予算２４６億円　県、きょう議会提案　／静岡,（2020年7月1日）,//mainichi.jp/articles/20200701/ddl/k22/040/205000c
新型コロナ　診療設備の分散を　医療機関、第２波に備え　対策会議　／群馬,（2020年6月30日）,//mainichi.jp/articles/20200630/ddl/k10/040/124000c
新型コロナ　立体花壇で「アリガトウ」　湘南鎌倉総合病院へ地元のＮＰＯなど感謝　／神奈川,（2020年6月30日）,//mainichi.jp/articles/20200630/ddl/k14/040/049000c
"探・新型コロナ



院内感染「甘かった」　解熱剤服用され把握困難に、専門外兼務で苦情増　職員３割待機、富山の病院",（2020年6月28日）,//mainichi.jp/articles/20200628/ddn/041/040/004000c
「院内ぐちゃぐちゃに」　職員3割一時不在、富山市民病院前院長が涙した理由,（2020年6月27日）,//mainichi.jp/articles/20200627/k00/00m/040/088000c
新型コロナ　医科、歯科８５％外来数減　県保険医協会、４月の県内開業医アンケ　／佐賀,（2020年6月27日）,//mainichi.jp/articles/20200627/ddl/k41/040/224000c
新型コロナ　宝塚市立病院、独自にＰＣＲ検査　９月から、緊急性高い患者対象　／兵庫,（2020年6月25日）,//mainichi.jp/articles/20200625/ddl/k28/040/157000c
"どうすれば安全安心



通院欠かせぬ、慢性腎臓病患者　自身の体調把握が重要",（2020年6月25日）,//mainichi.jp/articles/20200625/dde/012/040/014000c
新型コロナ　小樽でも「昼カラ」感染　９人確認、市がクラスター認定　／北海道,（2020年6月25日）,//mainichi.jp/articles/20200625/ddl/k01/040/043000c
新型コロナ　「第２波」１カ月　医療、学校…生活に大きな影響　半数は感染経路不明　北九州市　／福岡,（2020年6月24日）,//mainichi.jp/articles/20200624/ddl/k40/040/302000c
新型コロナ　無症状者の感染リスク警戒　日赤和歌山医療センター・感染症内科部長、古宮伸洋氏が振り返る　／和歌山,（2020年6月24日）,//mainichi.jp/articles/20200624/ddl/k30/040/263000c
