総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
102,25,0,77,4,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
1,2,18,20,19,15,11,9,4,2,0,1
うち重症者
4
男性,女性,不明
61,41,0
総数(累計),重症者,退院(累計)
"3,184",60,374
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
19,67,212,227,45,59,57,73,132,97,96
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
293,118,90,145,88,45,13,66,101,70,78
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
81,31,13,14,20,3,30,6,25,31,10
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
12,13,5,6,4,0,10,5,10,12,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
19,6,5,3,21,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,82,412,,
