総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
181,56,1,124,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
2,7,29,30,28,35,16,17,12,5,0,0
うち重症者
0
男性,女性,不明
103,76,2
総数(累計),重症者,退院(累計)
"2,975",55,120
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
19,58,197,219,39,53,48,65,123,92,79
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
259,105,82,127,79,35,13,57,90,65,64
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
70,23,13,12,20,3,27,3,23,28,9
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
9,13,4,6,4,0,9,5,9,11,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
16,6,5,2,18,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,76,400,,
