総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
83,9,1,73,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,0,18,21,15,11,12,6,0,0,0,0
うち重症者
0
男性,女性,不明
57,26,0
総数(累計),重症者,退院(累計)
"1,116",27,82
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
6,25,83,60,8,29,11,22,41,42,37
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
104,37,33,56,20,10,6,20,42,22,19
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
15,9,2,4,8,1,1,2,4,14,3
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
3,6,1,0,0,0,3,1,1,2,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,3,3,1,10,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,32,170,,
